USAF,WBAN,STATION NA,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END
386090,99999,ISFARA,TI,,,40.133000000000003,70.599999999999994,873.000000000000000,19480101,19970510
386150,99999,OSH,KG,,,40.533000000000001,72.799999999999997,875.000000000000000,19591102,20031003
386155,99999,OSH,KG,,UAFO,40.609000000000002,72.793000000000006,892.100000000000023,20070823,20180723
386180,99999,FERGANA AIRPORT,UZ,,UTFF,40.366999999999997,71.750000000000000,603.500000000000000,19480101,20180723
386230,99999,ARPA,KG,,,40.783000000000001,74.766999999999996,2865.000000000000000,19600101,19631223
386270,99999,GULCA,KG,,,40.317000000000000,73.549999999999997,1555.000000000000000,19591102,20120201
386280,99999,KOKMAGDAY,KG,,,40.250000000000000,74.000000000000000,,19600214,19631216
387440,99999,LAHSH,TI,,,39.283000000000001,71.867000000000004,1198.000000000000000,19730312,20180723
387450,99999,SARY-TAS,KG,,,39.732999999999997,73.266999999999996,3155.000000000000000,19591101,20010303
388530,99999,KHABURABAD,TI,,,38.649999999999999,70.716999999999999,3347.000000000000000,19730101,20050327
388560,99999,DARVAZ,TI,,,38.466999999999999,70.882999999999996,1288.000000000000000,19590901,20180723
388620,99999,FEDCENKO GLACIER,TI,,,38.917000000000002,72.167000000000002,4169.000000000000000,19370104,20050827
388670,99999,HUMRAGI,TI,,,38.283000000000001,71.332999999999998,1737.000000000000000,19730101,20130112
388690,99999,IHRT,TI,,,38.167000000000002,72.632999999999996,3276.000000000000000,19590101,20180723
388710,99999,KARAKUL LAKE,TI,,,39.082999999999998,73.417000000000002,3930.000000000000000,19591102,20020618
388750,99999,KARAKUL,TI,,,39.017000000000003,73.549999999999997,3940.000000000000000,19570722,20180723
388780,99999,MURGAB,TI,,,38.167000000000002,73.966999999999999,3576.000000000000000,19591118,20180723
388790,99999,OKSU,TI,,,38.067000000000000,74.466999999999999,3740.000000000000000,19770705,20020312
389510,99999,RUSHAN,TI,,,37.950000000000003,71.549999999999997,1981.000000000000000,20130112,20180723
389540,99999,KHOROG,TI,,,37.500000000000000,71.500000000000000,2077.000000000000000,19571011,20180723
389560,99999,BULUN-KUL,TI,,,37.700000000000003,72.950000000000003,3744.000000000000000,19591111,20130112
389570,99999,ISHKASHIM,TI,,,36.716999999999999,71.599999999999994,2523.000000000000000,19591108,20180723
389660,99999,SAJMAK,TI,,,37.533000000000001,74.832999999999998,3840.000000000000000,19601201,20180215
409000,99999,DARWAZ,AF,,OADZ,38.433000000000000,70.799999999999997,1320.000000000000000,19730304,20070905
409050,99999,SHIGHNAN,AF,,,37.567000000000000,71.500000000000000,2265.000000000000000,19730701,20090511
409180,99999,ISKACHEM / ESHKASHEM,AF,,OAEM,36.700000000000003,71.566999999999993,2620.000000000000000,20021121,20170316
409200,99999,ZEBAK,AF,,OAZB,36.500000000000000,71.250000000000000,2600.000000000000000,19580101,20021220
415040,99999,GUPIS,PK,,,36.167000000000002,73.400000000000006,2156.000000000000000,20051001,20180129
415050,99999,HUNZA,PK,,,36.317000000000000,74.650000000000006,2374.000000000000000,20081029,20180129
